dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
rte,4,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8599439775910365,0.8820220140881214,-0.022078036497084952,24
rte,4,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.87,0.8820833333333333,-0.012083333333333335,24
rte,4,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8698828946051447,0.8820220140881214,-0.012139119482976746,24
rte,4,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.83,0.8389583333333333,-0.00895833333333329,24
rte,4,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8291628982011858,0.8384126037261641,-0.00924970552497828,24
rte,4,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.835,0.8389583333333333,-0.003958333333333286,24
rte,4,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8344993605657113,0.8384126037261641,-0.003913243160452828,24
rte,4,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.83,0.8389583333333333,-0.00895833333333329,24
rte,4,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8291628982011858,0.8384126037261641,-0.00924970552497828,24
rte,8,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.855,0.8498684210526316,0.005131578947368376,38
rte,8,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8543847756772363,0.848964048330584,0.005420727346652221,38
rte,8,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.86,0.8498684210526316,0.01013157894736838,38
rte,8,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8596491228070176,0.848964048330584,0.01068507447643352,38
rte,8,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.845,0.8498684210526316,-0.004868421052631633,38
rte,8,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8441231929604023,0.848964048330584,-0.004840855370181751,38
rte,8,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.835,0.8294736842105263,0.0055263157894737125,38
rte,8,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8342999171499585,0.8285062389261099,0.005793678223848686,38
rte,8,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.835,0.8294736842105263,0.0055263157894737125,38
rte,8,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8346651970239736,0.8285062389261099,0.006158958097863709,38
rte,8,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.85,0.8294736842105263,0.020526315789473726,38
